sku,name,description,price,category,stock,is_active
SKU101,土豆片,经典必点食材,3.00,蔬菜类,200,true
SKU102,藕片,脆爽清甜,4.00,蔬菜类,180,true
SKU103,海带结,爽口耐煮,3.00,蔬菜类,150,true
SKU104,金针菇,汤底提鲜好搭档,4.00,蔬菜类,160,true
SKU105,冬瓜块,清爽解腻,3.00,蔬菜类,120,true

SKU106,豆皮,吸汁入味,4.00,豆制品类,180,true
SKU107,油豆腐,软嫩多汁,4.00,豆制品类,160,true
SKU108,千张,薄片易入味,3.50,豆制品类,140,true
SKU109,腐竹,经典豆香,4.50,豆制品类,130,true

SKU110,肥牛卷,麻辣烫灵魂肉类,12.00,肉类,80,true
SKU111,鸡肉片,清爽低脂,8.00,肉类,90,true
SKU112,午餐肉,浓香软糯,6.00,肉类,100,true
SKU113,火腿肠,便宜又解馋,3.50,肉类,200,true

SKU114,贡丸,Q弹顺滑,4.50,丸子类,150,true
SKU115,鱼豆腐,网红爆款食材,4.00,丸子类,180,true
SKU116,墨鱼丸,鲜香弹牙,5.00,丸子类,120,true
SKU117,牛肉丸,扎实肉香,6.00,丸子类,110,true
SKU118,芝心丸,咬开流心,6.00,丸子类,100,true

SKU119,宽粉,麻辣烫必吃主食,4.00,主食,200,true
SKU120,细粉,软糯爽滑,4.00,主食,180,true
SKU121,方便面,经典标配,3.50,主食,160,true
SKU122,米饭,干饭人的标配,2.00,主食,100,true

SKU123,冰红茶,解辣神器,8.00,饮品,120,true
SKU124,冰可乐,快乐第一口,8.00,饮品,140,true
SKU125,柠檬水,解腻清爽,6.00,饮品,100,true
