sku,name,description,price,category,stock,is_active
SKU301,羊肉串,经典孜然风味,5.00,肉类,200,true
SKU302,牛肉串,鲜香扎实,6.00,肉类,180,true
SKU303,鸡翅中,外皮焦香内里多汁,8.00,肉类,150,true
SKU304,鸡心串,脆嫩Q弹,5.00,肉类,120,true
SKU305,五花肉片,肥瘦相间香气浓郁,6.50,肉类,140,true

SKU306,烤茄子,蒜香味浓郁,10.00,蔬菜类,100,true
SKU307,烤金针菇,锡纸锁鲜,8.00,蔬菜类,120,true
SKU308,烤土豆片,软糯咸香,5.00,蔬菜类,160,true
SKU309,烤玉米段,甜香焦黄,6.00,蔬菜类,140,true
SKU310,烤青椒,微辣爽口,4.00,蔬菜类,130,true

SKU311,烤年糕,外焦内糯,5.00,主食,180,true
SKU312,烤馒头片,刷酱更香,4.00,主食,160,true
SKU313,烤冷面,酱香十足,10.00,主食,80,true
SKU314,烤大饼卷菜,夜宵灵魂组合,12.00,主食,70,true

SKU315,烤鱼豆腐,Q弹入味,4.00,小吃类,200,true
SKU316,烤狮子头,焦香软嫩,6.00,小吃类,140,true
SKU317,烤火腿肠,经典便宜又快乐,3.00,小吃类,250,true
SKU318,烤芝士肠,香浓拉丝,5.00,小吃类,180,true
SKU319,烤鸡皮,酥脆油香,5.00,小吃类,130,true

SKU320,锡纸花甲,鲜辣过瘾,18.00,海鲜类,60,true
SKU321,锡纸扇贝,蒜蓉粉丝更入味,16.00,海鲜类,50,true
SKU322,烤鱿鱼须,越嚼越香,10.00,海鲜类,90,true
SKU323,整条烤鱿鱼,经典街边风味,15.00,海鲜类,70,true

SKU324,烤生蚝,蒜香爆汁,12.00,海鲜类,80,true
SKU325,烤虾串,鲜香带甜,8.00,海鲜类,100,true

SKU326,冰可乐,解腻神器,6.00,饮品,150,true
SKU327,冰雪碧,爽口清甜,6.00,饮品,140,true
SKU328,冰红茶,搭烧烤最稳,6.00,饮品,120,true
