sku,name,description,price,category,stock,is_active
SKU201,西瓜块,清甜多汁,5.00,经典水果,200,true
SKU202,哈密瓜,爽脆香甜,6.00,经典水果,180,true
SKU203,火龙果,软糯解腻,6.00,经典水果,150,true
SKU204,苹果丁,脆甜耐吃,4.00,经典水果,160,true
SKU205,葡萄粒,冰镇更好吃,5.00,经典水果,140,true

SKU206,芒果丁,招牌主推,8.00,热带水果,180,true
SKU207,菠萝块,酸甜开胃,5.50,热带水果,160,true
SKU208,木瓜块,绵密顺滑,6.00,热带水果,120,true
SKU209,香蕉片,香甜柔软,4.00,热带水果,150,true
SKU210,椰果粒,Q弹爽口,4.50,热带水果,170,true

SKU211,黄桃罐头,经典甜爽,6.00,罐头类,130,true
SKU212,荔枝罐头,香甜柔软,6.50,罐头类,120,true
SKU213,菠萝罐头,酸甜适口,6.00,罐头类,110,true

SKU214,原味酸奶,水果捞灵魂基底,5.00,乳制品配料,200,true
SKU215,椰奶,香气浓郁,5.50,乳制品配料,180,true
SKU216,炼乳,增甜小能手,3.00,乳制品配料,150,true
SKU217,奶油球,增加奶香层次,2.00,乳制品配料,150,true
SKU218,燕麦,健康又有嚼劲,4.00,乳制品配料,100,true

SKU219,招牌芒果水果捞,芒果+西瓜+椰果+酸奶,22.00,主打水果捞,80,true
SKU220,混合水果捞,多种水果一次满足,20.00,主打水果捞,90,true
SKU221,草莓水果捞（季节限定）,草莓+酸奶+燕麦,25.00,主打水果捞,60,true
SKU222,热带风情水果捞,菠萝+木瓜+椰奶,21.00,主打水果捞,70,true
SKU223,黄桃酸奶水果捞,黄桃+酸奶+燕麦,18.00,主打水果捞,85,true

SKU224,冰鲜椰子水,天然清甜,10.00,饮品,100,true
SKU225,芒果冰沙,入口凉爽,12.00,饮品,90,true
SKU226,草莓冰沙,香甜冰爽,12.00,饮品,85,true
